customer_id,total_wagered,avg_bet_per_session,loss_rate,total_sessions,days_since_last_visit,avg_session_value,loss_chasing_indicator,sessions_last_30d,bet_trend_ratio,normalized_avg_bet,normalized_sessions,normalized_loss_rate,period_id,total_bet,total_win
261051,15167.81,15167.81,1.77,4,0,117550.525,0,4,1.0,2.460081173211813,0.08184872784623015,-0.21755016661845195,2023-H1,470202.1,461885.95
261709,167.38,167.38,0.03,2,0,1088.0,0,2,1.0,-0.2424840218855131,-0.24344594477826412,-0.2481899423325353,2023-H1,2176.0,2175.38
261990,316.67,316.67,19.91,2,0,1900.0,0,2,1.0,-0.21558706239994632,-0.24344594477826412,0.10187829973411819,2023-H1,3800.0,3043.34
262545,123.17,123.17,43.3,4,0,184.75,1,4,1.0,-0.25044915403674156,0.08184872784623015,0.5137543652240087,2023-H1,739.0,419.0
263041,5934.75,5934.75,2.42,5,0,48664.92,0,5,1.0,0.7965990863486152,0.24449606415847727,-0.20610427339192655,2023-H1,243324.6,237429.02
263646,1116.99,1116.99,21.7,5,0,7595.56,1,5,1.0,-0.07139673072676817,0.24449606415847727,0.13339852877331887,2023-H1,37977.8,29736.02
263599,708.67,708.67,12.31,3,0,5433.133333333333,0,3,1.0,-0.14496204988509498,-0.08079860846601698,-0.03195060568371714,2023-H1,16299.4,14293.2
263702,450.09,450.09,-17.15,3,0,2250.4666666666667,0,3,1.0,-0.1915493349261416,-0.08079860846601698,-0.5507137048428525,2023-H1,6751.4,7909.4
263707,2667.3,2667.3,2.52,7,0,14860.67857142857,0,7,1.0,0.2079161854770564,0.5697907367829715,-0.20434336674169187,2023-H1,104024.75,101400.19
263746,5106.96,5106.96,2.63,3,0,44260.34666666667,0,3,1.0,0.6474595988239499,-0.08079860846601698,-0.20240636942643375,2023-H1,132781.04,129287.79
263846,254.48,254.48,29.36,2,0,1017.9,1,2,1.0,-0.2267915765027489,-0.24344594477826412,0.268283978181295,2023-H1,2035.8,1438.1
263966,468.02,468.02,25.54,3,0,2808.133333333333,1,3,1.0,-0.18831896126698014,-0.08079860846601698,0.20101734414233038,2023-H1,8424.4,6272.39
264374,87.67,87.67,75.29,2,0,131.5,1,2,1.0,-0.2568450416496937,-0.24344594477826412,1.0770684026340815,2023-H1,263.0,65.0
264649,945.25,945.25,2.66,20,0,11295.755000000001,0,20,1.0,-0.10233841350559617,2.6842061088421842,-0.2018780974313633,2023-H1,225915.1,219906.28
264755,630.76,630.76,0.42,10,0,7190.639999999999,0,10,1.0,-0.1589987711224217,1.057732745719713,-0.24132240639662006,2023-H1,71906.4,71604.52
264934,507.25,507.25,-33.41,2,0,7608.8,0,2,1.0,-0.18125105504004743,-0.24344594477826412,-0.8370371261710107,2023-H1,15217.6,20301.88
