customer_id,age_range,gender,region,registration_month,customer_segment
CUST_0,55-64,Male,Germany,2022-05,
CUST_1094,35-44,Male,Greece,2022-03,
CUST_1098,65+,Male,Netherlands,2022-01,
CUST_1748,55-64,Male,Kosovo,2022-12,
CUST_1908,18-24,Male,Germany,2022-05,
CUST_1937,35-44,Male,Kosovo,2022-04,
CUST_2017870,65+,Female,Greece,2022-01,
CUST_2097,55-64,Female,Turkey,2022-04,
CUST_246902,18-24,Male,Netherlands,2022-09,
CUST_3458,35-44,Female,Germany,2022-08,
CUST_4409,65+,Female,Germany,2022-11,
CUST_4933,45-54,Male,Bulgaria,2022-12,
CUST_5584,35-44,Female,Turkey,2022-02,
CUST_6684,65+,Female,Azerbaijan,2022-01,
CUST_7600,45-54,Male,Kosovo,2022-01,
CUST_7607,65+,Female,Kosovo,2022-04,
CUST_7641,65+,Male,Germany,2022-11,
CUST_7643,35-44,Female,Romania,2022-07,
CUST_7680,65+,Male,Turkey,2022-01,
CUST_7681,45-54,Female,Bulgaria,2022-09,
CUST_7878,65+,Female,Germany,2022-01,
CUST_8679,35-44,Male,Netherlands,2022-09,
CUST_9674,65+,Male,Kosovo,2022-12,
CUST_9764,25-34,Male,Germany,2022-01,
CUST_10827,45-54,Female,Romania,2022-03,
CUST_11194,55-64,Male,Netherlands,2022-06,
CUST_12294,65+,Male,Greece,2022-01,
CUST_13650,18-24,Female,Bulgaria,2022-06,
CUST_14858,25-34,Male,Turkey,2022-12,
CUST_15092,55-64,Female,Greece,2022-12,
CUST_16418,45-54,Female,Turkey,2022-08,
CUST_17798,55-64,Female,Germany,2022-04,
CUST_18018,25-34,Male,Turkey,2022-02,
CUST_18108,55-64,Female,Turkey,2022-12,
CUST_18324,45-54,Female,Bulgaria,2022-10,
CUST_19664,25-34,Female,Germany,2022-10,
CUST_200126,18-24,Male,Germany,2022-02,
CUST_200134,25-34,Female,Kosovo,2022-01,
CUST_200135,45-54,Female,Kosovo,2022-01,
CUST_200138,45-54,Female,Poland,2022-11,
CUST_200159,18-24,Male,Netherlands,2022-08,
CUST_200161,55-64,Female,Turkey,2022-05,
CUST_200162,35-44,Male,Greece,2022-09,
CUST_200167,25-34,Female,Germany,2022-01,
CUST_200169,65+,Female,Poland,2022-05,
CUST_200170,65+,Male,Azerbaijan,2022-05,
CUST_200172,25-34,Female,Turkey,2022-01,
CUST_200173,45-54,Male,Germany,2022-01,
CUST_200174,65+,Male,Azerbaijan,2022-07,
CUST_200175,65+,Male,Kosovo,2022-09,
CUST_200178,45-54,Male,Germany,2022-02,
CUST_200179,35-44,Female,Greece,2022-09,
CUST_200195,35-44,Male,Germany,2022-01,
CUST_200197,45-54,Male,Romania,2022-05,
CUST_200199,55-64,Male,Germany,2022-01,
CUST_200202,45-54,Male,Greece,2022-02,
CUST_200206,55-64,Female,Poland,2022-01,
CUST_200208,55-64,Male,Netherlands,2022-04,
CUST_200209,45-54,Female,Bulgaria,2022-01,
CUST_200231,45-54,Female,Germany,2022-01,
CUST_200241,35-44,Male,Bulgaria,2022-01,
CUST_200242,55-64,Male,Kosovo,2022-05,
CUST_200243,18-24,Male,Netherlands,2022-01,
CUST_200245,18-24,Male,Germany,2022-01,
CUST_200248,18-24,Female,Germany,2022-01,
CUST_2002480,35-44,Female,Netherlands,2022-08,
CUST_200249,25-34,Male,Netherlands,2022-09,
CUST_200250,55-64,Female,Greece,2022-01,
CUST_200252,45-54,Female,Greece,2022-01,
CUST_200255,25-34,Female,Bulgaria,2022-01,
CUST_2002550,45-54,Female,Turkey,2022-12,
CUST_200256,18-24,Male,Germany,2022-01,
CUST_200259,65+,Female,Turkey,2022-11,
CUST_200260,25-34,Male,Greece,2022-01,
CUST_200263,55-64,Female,Germany,2022-01,
CUST_200266,25-34,Female,Azerbaijan,2022-02,
CUST_200267,25-34,Female,Turkey,2022-01,
CUST_2002670,65+,Male,Germany,2022-10,
CUST_200269,55-64,Male,Poland,2022-10,
CUST_200270,65+,Male,Germany,2022-10,
CUST_200271,45-54,Female,Greece,2022-01,
CUST_200273,45-54,Male,Germany,2022-01,
CUST_200274,18-24,Female,Greece,2022-07,
CUST_200278,65+,Female,Greece,2022-10,
CUST_200280,65+,Female,Germany,2022-09,
CUST_200281,35-44,Male,Poland,2022-01,
CUST_200282,55-64,Male,Turkey,2022-04,
CUST_200283,18-24,Male,Kosovo,2022-11,
CUST_200293,45-54,Male,Germany,2022-07,
CUST_200294,45-54,Male,Turkey,2022-01,
CUST_200298,25-34,Male,Netherlands,2022-01,
CUST_200299,35-44,Female,Germany,2022-08,
CUST_200300,55-64,Male,Kosovo,2022-03,
CUST_200305,18-24,Male,Bulgaria,2022-06,
CUST_200307,55-64,Female,Italy,2022-02,
CUST_200310,25-34,Female,Greece,2022-09,
CUST_200313,45-54,Male,Netherlands,2022-01,
CUST_200314,35-44,Female,Greece,2022-05,
CUST_200315,65+,Male,Germany,2022-02,
CUST_200318,55-64,Male,Germany,2022-10,
CUST_200319,25-34,Female,Germany,2022-02,
CUST_2003190,35-44,Male,Turkey,2022-12,
CUST_200320,35-44,Female,Germany,2022-04,
CUST_200321,65+,Female,Kosovo,2022-01,
